FID,CVE_ENT,CVE_MUN,NOM_MUN,Regional_2,Regional_1,MUNID
0,01,002,Asientos,E,AGUASCALIENTES,1002
1,01,011,San Francisco de los Romo,C,AGUASCALIENTES,1009
2,01,007,RincSn de Romos,N,AGUASCALIENTES,1008
3,01,008,San JosL de Gracia,W,AGUASCALIENTES,1010
4,01,005,Jes,C,AGUASCALIENTES,1006
5,01,009,TepezalL,N,AGUASCALIENTES,1011
6,01,001,Aguascalientes,S,AGUASCALIENTES,1001
7,01,006,PabellAn de Arteaga,C,AGUASCALIENTES,1007
8,01,010,El Llano,E,AGUASCALIENTES,1005
9,01,003,Calvillo,W,AGUASCALIENTES,1003
10,01,004,Cos,N,AGUASCALIENTES,1004
11,02,005,Playas de Rosarito,NW,BAJA CALIFORNIA,2003
12,02,003,Tecate,N,BAJA CALIFORNIA,2004
13,02,004,Tijuana,NW,BAJA CALIFORNIA,2005
14,02,002,Mexicali,NE,BAJA CALIFORNIA,2002
15,02,001,Ensenada,NW,BAJA CALIFORNIA,2001
16,03,009,Loreto BAJA CALIFORNIA SUR,C,BAJA CALIFORNIA SUR,3003
17,03,003,La Paz BAJA CALIFORNIA SUR,S,BAJA CALIFORNIA SUR,3002
18,03,001,ComondA,C,BAJA CALIFORNIA SUR,3001
19,03,002,MulegC,N,BAJA CALIFORNIA SUR,3009
20,03,008,Los Cabos,S,BAJA CALIFORNIA SUR,3008
21,04,007,Palizada,SW,CAMPECHE,4010
22,04,002,Campeche,C,CAMPECHE,4003
23,04,010,Calakmul,SE,CAMPECHE,4001
24,04,003,Carmen,SW,CAMPECHE,4005
25,04,004,ChampotEn,C,CAMPECHE,4006
26,04,011,Candelaria,S,CAMPECHE,4004
27,04,001,CalkinH,N,CAMPECHE,4002
28,04,008,Tenabo,N,CAMPECHE,4011
29,04,009,Esc,S,CAMPECHE,4007
30,04,006,HopelchEn,E,CAMPECHE,4009
31,04,005,Hecelchak,N,CAMPECHE,4008
32,07,088,Sunuapa,N,CHIAPAS,7098
33,07,026,Chenalh,C,CHIAPAS,7022
34,07,006,Amatenango de la Frontera,S,CHIAPAS,7007
35,07,032,Escuintla,S,CHIAPAS,7034
36,07,106,Venustiano Carranza CHIAPAS,C,CHIAPAS,7114
37,07,112,San Juan Cancuc,C,CHIAPAS,7086
38,07,114,BenemArito de las AmCricas,E,CHIAPAS,7013
39,07,049,LarrPinzar,C,CHIAPAS,7054
40,07,020,La Concordia,S,CHIAPAS,7049
41,07,078,San Cristdbal de las Casas,C,CHIAPAS,7084
42,07,079,San Fernando CHIAPAS,C,CHIAPAS,7085
43,07,110,San Lucas CHIAPAS,C,CHIAPAS,7087
44,07,081,Simojovel,C,CHIAPAS,7090
45,07,038,HuixtAn,C,CHIAPAS,7040
46,07,105,Uni,S,CHIAPAS,7113
47,07,056,Mitontic,C,CHIAPAS,7063
48,07,072,Pueblo Nuevo Solistahuacan,C,CHIAPAS,7078
49,07,044,Ixtapa,C,CHIAPAS,7044
50,07,074,Reforma,N,CHIAPAS,7080
51,07,089,Tapachula,S,CHIAPAS,7099
52,07,048,Ju8rez CHIAPAS,N,CHIAPAS,7048
53,07,001,Acacoyagua,S,CHIAPAS,7001
54,07,109,YajalAn,N,CHIAPAS,7118
55,07,009,Arriaga,W,CHIAPAS,7010
56,07,052,Las Margaritas,E,CHIAPAS,7055
57,07,077,Salto de Agua,N,CHIAPAS,7082
58,07,014,El Bosque,C,CHIAPAS,7032
59,07,061,Ocozocoautla de Espinosa,W,CHIAPAS,7069
60,07,033,Francisco Le n,N,CHIAPAS,7035
61,07,101,Tuxtla Gutierrez,C,CHIAPAS,7110
62,07,075,Las Rosas,C,CHIAPAS,7056
63,07,013,Bochil,C,CHIAPAS,7015
64,07,019,ComitAn de Domenguez,C,CHIAPAS,7030
65,07,080,Siltepec,S,CHIAPAS,7089
66,07,083,Socoltenango,C,CHIAPAS,7092
67,07,107,Villa Corzo,W,CHIAPAS,7116
68,07,092,TecpatSn,W,CHIAPAS,7102
69,07,005,AmatPn,N,CHIAPAS,7006
70,07,085,SoyalA,C,CHIAPAS,7094
71,07,055,Metapa,S,CHIAPAS,7062
72,07,030,Chicomuselo,S,CHIAPAS,7026
73,07,015,Cacahoaten,S,CHIAPAS,7016
74,07,086,Suchiapa,C,CHIAPAS,7096
75,07,043,Ixtacomitnn,N,CHIAPAS,7043
76,07,018,Coapilla,C,CHIAPAS,7029
77,07,003,Acapetahua,S,CHIAPAS,7003
78,07,091,Tapilula,C,CHIAPAS,7101
79,07,113,Aldama,C,CHIAPAS,7004
80,07,076,Sabanilla,N,CHIAPAS,7081
81,07,103,TuzantSn,S,CHIAPAS,7111
82,07,067,Pantepec,C,CHIAPAS,7075
83,07,071,Villa Comaltitlnn,S,CHIAPAS,7115
84,07,034,Frontera Comalapa,S,CHIAPAS,7036
85,07,063,Osumacinta,C,CHIAPAS,7071
86,07,025,Chapultenango,N,CHIAPAS,7021
87,07,035,Frontera Hidalgo,S,CHIAPAS,7037
88,07,104,Tzimol,C,CHIAPAS,7112
89,07,036,La Grandeza,S,CHIAPAS,7050
90,07,082,SitalA,C,CHIAPAS,7091
91,07,024,Chanal,C,CHIAPAS,7020
92,07,037,Huehuet,S,CHIAPAS,7038
93,07,040,Huixtla,S,CHIAPAS,7041
94,07,100,TumbalS,N,CHIAPAS,7108
95,07,027,Chiapa de Corzo,C,CHIAPAS,7023
96,07,084,Solosuchiapa,N,CHIAPAS,7093
97,07,016,Catazaj,N,CHIAPAS,7017
98,07,068,Pichucalco,N,CHIAPAS,7076
99,07,023,Chamula,C,CHIAPAS,7019
100,07,087,Suchiate,S,CHIAPAS,7097
101,07,031,ChilPn,N,CHIAPAS,7027
102,07,097,TonalA CHIAPAS,W,CHIAPAS,7106
103,07,004,Altamirano,E,CHIAPAS,7005
104,07,090,Tapalapa,C,CHIAPAS,7100
105,07,050,La Libertad,N,CHIAPAS,7052
106,07,099,La Trinitaria,E,CHIAPAS,7053
107,07,096,Tila,N,CHIAPAS,7105
108,07,108,Villaflores,W,CHIAPAS,7117
109,07,058,NicolAs Rusz,C,CHIAPAS,7066
110,07,029,Chicoas,C,CHIAPAS,7025
111,07,017,Cintalapa,W,CHIAPAS,7028
112,07,046,Jiquipilas,W,CHIAPAS,7046
113,07,007,Amatenango del Valle,C,CHIAPAS,7008
114,07,093,Tenejapa,C,CHIAPAS,7103
115,07,060,Ocotepec,C,CHIAPAS,7068
116,07,051,Mapastepec,S,CHIAPAS,7057
117,07,022,Chalchihuitdn,C,CHIAPAS,7018
118,07,065,Palenque,N,CHIAPAS,7073
119,07,010,Bejucal de Ocampo,S,CHIAPAS,7011
120,07,094,Teopisca,C,CHIAPAS,7104
121,07,073,Ray,C,CHIAPAS,7079
122,07,118,San AndrIs Duraznal,C,CHIAPAS,7083
123,07,053,Mazapa de Madero,S,CHIAPAS,7060
124,07,012,Berrioz,C,CHIAPAS,7014
125,07,028,Chiapilla,C,CHIAPAS,7024
126,07,045,Ixtapangajoya,N,CHIAPAS,7045
127,07,069,Pijijiapan,S,CHIAPAS,7077
128,07,041,La Independencia,E,CHIAPAS,7051
129,07,111,Zinacanten,C,CHIAPAS,7119
130,07,098,Totolapa,C,CHIAPAS,7107
131,07,011,Bella Vista,S,CHIAPAS,7012
132,07,008,Angel Albino Corzo,S,CHIAPAS,7009
133,07,021,Copainalb,C,CHIAPAS,7031
134,07,115,Maravilla Tenejapa,E,CHIAPAS,7058
135,07,070,El Porvenir,S,CHIAPAS,7033
136,07,054,MazatAn CHIAPAS,S,CHIAPAS,7061
137,07,047,Jitotol,C,CHIAPAS,7047
138,07,116,MarquAs de Comillas,E,CHIAPAS,7059
139,07,062,OstuacSn,N,CHIAPAS,7070
140,07,102,Tuxtla Chico,S,CHIAPAS,7109
141,07,042,IxhuatSn,N,CHIAPAS,7042
142,07,059,Ocosingo,E,CHIAPAS,7067
143,07,117,Montecristo de Guerrero,S,CHIAPAS,7064
144,07,039,Huitiup,N,CHIAPAS,7039
