cnt_presa,PK_IdPresaSIH,clave,NombrePresa,nombrecomun,Estado,Abr_Edo,Municipio,regioncna,Longitud,Latitud,uso,corriente,tipovertedor,inicioop,alturacortina,elevcorona,bordolibre,nameelev,namealmac,namoelev,CapacidadNAMO,llenano,elevacionactual,namoalmac,datee,fecha,fechaWF,anio,mes,dia,dailyvalue,diferencia,imagen
1,1,ABRAG,"Abelardo L. Rodríguez, Ags.","Abelardo L. Rodríguez, Ags.",Aguascalientes,Ags.      ,Jesús María,Lerma Santiago Pacífico,-102.427778,21.916944,RI,R. Morcinique,Libre,1934,CONAGUA,1890.2,1.470,1890.000,18.840,1888.900,16.043,0.452459919680417,1884.320,16.043,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,7.259,8.784,ABRAG.jpg
1,192,ACHZC,"Achimec, Zac.","Vaqueros, Jal.",Jalisco,Jal.      ,Huejúcar,Lerma Santiago Pacífico,-103.225278,22.327222,RI,R. Huejucar,Libre,1969,CONAGUA,1846.3,2.030,1844.270,12.212,1841.500,7.364,0.471754491279688,1838.160,7.364,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,3.474,3.890,ACHZC.jpg
1,53,AFIGR,"Andrés Figueroa, Gro.","Las Garzas, Gro.",Guerrero,Gro.      ,Ajuchitlán del Progreso,Balsas,-100.5175,18.075833,RI,R. Ajuchitán,Libre,1984,CONAGUA,385,2.390,382.610,133.029,377.000,102.500,0.544780487804878,365.200,102.500,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,55.840,46.660,AFIGR.jpg
1,134,AGMNR,"Aguamilpa Solidaridad, Nay.","Aguamilpa, Nay.",Nayarit,Nay.      ,Tepic,Lerma Santiago Pacífico,-104.802222,21.839167,GH,R. Santiago,Contr,1993,CFE,235,3.000,232.000,6950.000,220.000,5540.000,0.708584837545126,202.930,5540.000,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,3925.560,1614.440,AGMNR.jpg
1,94,AGOMC,"Agostitlán, Mich.","Mata de Pinos, Mich.",Michoacán,Mich.     ,Hidalgo,Balsas,-100.608889,19.579722,RI,A. El Chaparro,Libre,1955,CONAGUA,2379,1.160,2377.840,18.754,2376.600,15.675,0.400765550239234,2371.600,15.675,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,6.282,9.393,AGOMC.jpg
1,12,AGZCH,"Abraham González, Chih.","Guadalupe, Chih.",Chihuahua,Chih.     ,Guerrero,Noroeste,-107.482778,28.481667,RI,R. Papigochi,Libre,1961,CONAGUA,2052.9,1.600,2051.300,102.891,2047.800,79.354,0.586448068150314,2042.030,79.354,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,46.537,32.817,AGZCH.jpg
1,152,ALMSI,"Adolfo López Mateos, Sin.","El Humaya o El Varejonal, Sin.",Sinaloa,Sin.      ,Badiraguato,Pacífico Norte,-107.388333,25.101389,AP/RI,R. Humaya,Libre,1964,CONAGUA,186.5,3.020,183.480,4034.520,176.000,3086.610,0.152826558451856,141.080,3086.610,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,471.716,2614.894,ALMSI.jpg
1,9,ALRBN,"Abelardo L. Rodríguez, B.C.","Tijuana, B.C.",Baja California,B.C.      ,Tijuana,Península de Baja California,-116.908333,32.444722,AP,R. Tijuana,Contr,1937,CONAGUA,127,2.000,125.000,121.392,115.850,76.900,0.181638491547464,96.630,76.900,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,13.968,62.932,ALRBN.jpg
1,95,AMEMC,"Aristeo Mercado, Mich.","Wilson ,Mich.",Michoacán,Mich.     ,Jiménez,Lerma Santiago Pacífico,-101.661111,19.926111,RI,A. sin nombre,Libre,1926,CONAGUA,1999.83,6.030,1993.800,28.305,1993.500,25.344,0.239109848484848,1990.920,25.344,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,6.060,19.284,AMEMC.jpg
1,28,ANGCP,"Doctor Belisario Domínguez, Chis.","La Angostura, Chis.",Chiapas,Chis.     ,Acala,Frontera Sur,-92.778889,16.401389,GH,R. Grijalva,Contr,1976,CFE,543,3.500,539.500,19736.430,533.000,15549.160,0.572314517311546,520.270,15549.160,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,8899.010,6650.150,ANGCP.jpg
1,171,AOBSO,"Álvaro Obregón, Son.","Oviachic, Son.",Sonora,Son.      ,Cajeme,Noroeste,-109.8925,27.8225,AP/GH/RI,R. Yaqui,Libre,1952,CONAGUA,115.1,2.900,112.200,4478.215,105.500,3023.140,0.374302877140986,91.970,3023.140,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,1131.570,1891.570,AOBSO.jpg
1,33,APRDR,"Ing. Benjamín Ortega Cantero, Dgo.","Agua Puerca, Dgo.",Durango,Dgo.      ,Hidalgo,Cuencas Centrales del Norte,-104.493889,26.226389,RI,A. Grande del Derrame,Libre,1984,CONAGUA,1436.4,2.300,1434.100,56.060,1430.200,30.764,0.261701989338188,1424.150,30.764,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,8.051,22.713,APRDR.jpg
1,172,ARCSO,"Adolfo Ruíz Cortínes, Son.","Mocúzari, Son.",Sonora,Son.      ,Alamos,Noroeste,-109.106667,27.226111,AP/GH/RI,R. Mayo,Mixto,1955,CONAGUA,148,2.530,145.470,1822.141,136.300,1039.610,0.153766316214734,115.200,1039.610,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,159.857,879.753,ARCSO.jpg
1,173,ARLSO,"Abelardo Rodríguez Lujan, Son.","Hermosillo, Son.",Sonora,Son.      ,Hermosillo,Noroeste,-110.92,29.076667,AP,R. Sonora,Contr,1948,CONAGUA,231.6,3.200,228.400,284.470,226.980,219.520,0.00000455539358600583,214.160,219.520,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,.001,219.519,ARLSO.jpg
1,68,BBAJL,"Basilio Vadillo, Jal.","Las Piedras, Jal.",Jalisco,Jal.      ,El Limón,Lerma Santiago Pacífico,-104.061111,19.913611,RI,R. Tuxcacuesco,Libre,1973,CONAGUA,982.8,2.700,978.970,146.888,974.350,124.750,0.501490981963928,958.000,124.750,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,62.561,62.189,BBAJL.jpg
1,139,BDDPB,"Manuel Ávila Camacho, Pue.","Valsequillo o Balcón del Diablo, Pue.",Puebla,Pue.      ,Puebla,Balsas,-98.108611,18.9125,RI,R. Atoyac,Libre,1946,CONAGUA,2064,2.000,2062.000,391.489,2059.020,300.654,0.877024752705768,2057.610,300.654,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,263.681,36.973,BDDPB.jpg
1,193,BTEZC,"Ramón López Velarde, Zac.","Boca del Tesorero, Zac.",Zacatecas,Zac.      ,Jerez,Lerma Santiago Pacífico,-102.953333,22.824167,RI,R. Jeréz,Libre,1975,CONAGUA,2100.5,2.340,2098.160,36.744,2096.000,26.220,0.64012206100446,2093.540,26.220,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,16.784,9.436,BTEZC.jpg
1,34,CBRDR,"Caboraca, Dgo.","Canoas, Dgo.",Durango,Dgo.      ,Canatlán,Pacífico Norte,-104.810278,24.538333,RI,R. La Sauceda,Libre,1992,CONAGUA,2003.75,2.470,2001.280,57.880,1998.250,45.000,0.703111111111111,1994.740,45.000,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,31.640,13.360,CBRDR.jpg
1,131,CCHNL,"Cuchillo Solidaridad, N.L.","El Cuchillo, N.L.",Nuevo León,N.L.      ,China,Río Bravo,-99.276944,25.711667,AP/RI,R. San Juan,Contr,1994,CONAGUA,169.2,3.000,166.660,1784.290,162.350,1123.140,0.739957618818669,159.860,1123.140,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,831.076,292.064,CCHNL.jpg
1,135,CDOOX,"Miguel de la Madrid Hurtado, Oax.","Cerro de Oro, Oax.",Oaxaca,Oax.      ,San Lucas Ojitlán,Golfo Centro,-96.263611,17.999167,CA,R. Papaloapan,Contr,1988,CONAGUA,75.6,2.800,72.800,4117.450,64.860,2599.510,0.430623463652765,53.910,2599.510,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,1119.410,1480.100,CDOOX.jpg
1,3,CDRAG,"La Codorniz, Ags.","La Codorniz, Ags.",Aguascalientes,Ags.      ,Calvillo,Lerma Santiago Pacífico,-102.676944,21.9975,RI,R. De La Labor,Libre,1966,CONAGUA,1840,2.240,1837.760,6.528,1836.000,5.366,0.549012281711047,1831.160,5.366,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,2.946,2.420,CDRAG.jpg
1,29,CHICP,"Manuel Moreno Torres, Chis.","Chicoasén, Chis.",Chiapas,Chis.     ,Osumacinta,Frontera Sur,-93.100556,16.941667,GH,R. Grijalva,Contr,1980,CFE,405,7.000,395.000,1443.090,392.500,1384.860,0.990865502650087,391.950,1384.860,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,1372.210,12.650,CHICP.jpg
1,194,CHIZC,"El Chique, Zac.","El Chique, Zac.",Zacatecas,Zac.      ,Tabasco,Lerma Santiago Pacífico,-102.896111,21.997222,RI,R. Juchipila,Libre,1958,CONAGUA,1588.48,2.000,1586.480,192.567,1580.180,138.909,0.829478311953372,1576.990,138.909,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,115.222,23.687,CHIZC.jpg
1,69,CHLJL,"Chila, Jal.","Chila, Jal.",Jalisco,Jal.      ,Zapotlán del Rey,Lerma Santiago Pacífico,-102.944167,20.489722,RI,A. Chila,Libre,1945,CONAGUA,1525.88,1.000,99.000,1.000,98.700,.762,0.330708661417323,95.600,.762,2019-06-30 00:00:00.000,30/06/2019,2019/06/30,2019,6,30,.252,.510,CHLJL.jpg
